source_segment	source_orientation	target_segment	target_orientation	source_location	target_location	source_scc	target_scc	edge_class	path_support_count	total_traversals	paths
R1_M2_variant_GCA	+	R1_M2_exact_GCG	+	R1	R1	SCC0003	SCC0003	within_scc	27	27	seq10_1.0,seq11_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M2_variant_GCA	+	R1_M2_variant_GCA	+	R1	R1	SCC0003	SCC0003	within_scc	27	27	seq10_1.0,seq11_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M2_variant_GCT	+	R1_M2_exact_GCC	+	R1	R1	SCC0003	SCC0003	within_scc	1	1	seq12_1.0
R2_M1_exact_CAG	+	B2_0f9f5cc8d5	+	R2	B2	SCC0005	SCC0006	condensation	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R2_M1_exact_CAG	+	R2_M1_exact_CAG	+	R2	R2	SCC0005	SCC0005	within_scc	28	386	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R2_M1_exact_CAG	+	R2_M1_variant_CAA	+	R2	R2	SCC0005	SCC0005	within_scc	28	107	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R2_M1_variant_CAA	+	R2_M1_exact_CAG	+	R2	R2	SCC0005	SCC0005	within_scc	28	135	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R2_M1_variant_CAA	+	R2_M1_variant_CAA	+	R2	R2	SCC0005	SCC0005	within_scc	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_INS_af57163658	+	R3_M2_variant_AGC	+	R3	R3	SCC0007	SCC0007	within_scc	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_exact_GCC	+	R3_M2_exact_GCC	+	R3	R3	SCC0007	SCC0007	within_scc	28	222	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_exact_GCC	+	R3_M2_exact_GCG	+	R3	R3	SCC0007	SCC0007	within_scc	3	3	seq21_1.0,seq23_1.0,seq3_29.0
R3_M2_exact_GCC	+	R3_M2_variant_GCT	+	R3	R3	SCC0007	SCC0007	within_scc	28	53	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_exact_GCG	+	R3_M2_variant_GTG	+	R3	R3	SCC0007	SCC0007	within_scc	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_variant_AGC	+	R3_M2_variant_GCA	+	R3	R3	SCC0007	SCC0007	within_scc	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_variant_GCA	+	R3_M2_exact_GCC	+	R3	R3	SCC0007	SCC0007	within_scc	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_variant_GCT	+	R3_M2_exact_GCC	+	R3	R3	SCC0007	SCC0007	within_scc	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_variant_GCT	+	R3_M2_exact_GCG	+	R3	R3	SCC0007	SCC0007	within_scc	25	25	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq22_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_variant_GCT	+	R3_M2_variant_TCG	+	R3	R3	SCC0007	SCC0008	condensation	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_variant_GTG	+	R3_INS_af57163658	+	R3	R3	SCC0007	SCC0007	within_scc	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R3_M2_variant_TCG	+	B3_038413a4cf	+	R3	B3	SCC0008	SCC0009	condensation	1	1	seq23_1.0
R3_M2_variant_TCG	+	B3_1ebc66deef	+	R3	B3	SCC0008	SCC0010	condensation	2	2	seq11_1.0,seq13_2.0
R3_M2_variant_TCG	+	B3_40cea4bd7b	+	R3	B3	SCC0008	SCC0011	condensation	1	1	seq25_1.0
R3_M2_variant_TCG	+	B3_720f49dd8c	+	R3	B3	SCC0008	SCC0012	condensation	1	1	seq19_1.0
R3_M2_variant_TCG	+	B3_b7e8530980	+	R3	B3	SCC0008	SCC0013	condensation	1	1	seq15_2.5
R3_M2_variant_TCG	+	B3_b89e48058c	+	R3	B3	SCC0008	SCC0014	condensation	12	12	seq10_1.0,seq16_1.0,seq1_1.0,seq20_1.0,seq22_1.0,seq24_2.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0
R3_M2_variant_TCG	+	B3_ba1b1059ee	+	R3	B3	SCC0008	SCC0015	condensation	7	7	seq12_1.0,seq14_1.0,seq1_158.0,seq26_1.0,seq2_1.0,seq8_1.0,seq9_7.0
R3_M2_variant_TCG	+	B3_c3cc46e09d	+	R3	B3	SCC0008	SCC0016	condensation	1	1	seq21_1.0
R3_M2_variant_TCG	+	B3_de3548b7a1	+	R3	B3	SCC0008	SCC0017	condensation	1	1	seq17_1.0
R3_M2_variant_TCG	+	B3_dff2c1f3f3	+	R3	B3	SCC0008	SCC0018	condensation	1	1	seq18_1.0
