path	coordinate_system	left_anchor_start_bp	left_anchor_end_bp	right_anchor_start_bp	right_anchor_end_bp	left_anchor_unique	right_anchor_unique	anchors_unique	anchors_ordered	homology_window_start_bp	homology_window_end_bp	consensus_start_bp	start_ci_low_bp	start_ci_high_bp	consensus_end_bp	end_ci_low_bp	end_ci_high_bp	start_spread_bp	end_spread_bp	motif_uncertainty_bp	boundary_within_one_motif	method_count	method_family_count	internal_method_family_count	methods	start_support_family_count	start_support_methods	end_support_family_count	end_support_methods	boundary_support_methods	disagreement_method_count	external_method_count	external_methods	boundary_status	umbrella_term	structural_term
seq9_1.0	0-based_half-open	196	217	508	529	1	1	1	1	217	508	261	261	261	505	505	505	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq10_14.0	0-based_half-open	196	217	508	529	1	1	1	1	217	508	261	261	261	505	505	505	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq11_3.0	0-based_half-open	196	217	523	544	1	1	1	1	217	523	261	261	261	520	520	520	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq12_1.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq13_1.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	261	261	261	511	511	511	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq14_4.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq15_1.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	258	258	261	511	511	511	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq16_1.0	0-based_half-open	196	217	532	553	1	1	1	1	217	532	258	258	261	529	529	529	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq17_3.0	0-based_half-open	196	217	502	523	1	1	1	1	217	502	261	261	261	499	499	499	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq18_3.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	258	258	261	511	511	511	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq19_13.0	0-based_half-open	196	217	505	526	1	1	1	1	217	505	261	261	261	502	502	502	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq20_1.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	261	261	261	511	511	511	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq21_1.0	0-based_half-open	196	217	508	529	1	1	1	1	217	508	261	261	261	505	505	505	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq22_2.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	261	261	261	511	511	511	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq23_12.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	261	261	261	511	511	511	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq24_1.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq25_2.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	258	258	261	511	511	511	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq26_1.0	0-based_half-open	196	217	520	541	1	1	1	1	217	520	261	261	261	517	517	517	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq27_3.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq28_3.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq29_1.0	0-based_half-open	196	217	517	538	1	1	1	1	217	517	261	261	261	514	514	514	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq30_1.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	261	261	261	511	511	511	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq31_1.0	0-based_half-open	196	217	499	520	1	1	1	1	217	499	258	258	261	496	496	496	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq32_1.0	0-based_half-open	196	217	502	523	1	1	1	1	217	502	258	258	261	499	499	499	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq33_2.0	0-based_half-open	196	217	523	544	1	1	1	1	217	523	258	258	261	520	520	520	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq34_1.0	0-based_half-open	196	217	520	541	1	1	1	1	217	520	261	261	261	517	517	517	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq35_1.0	0-based_half-open	196	217	517	538	1	1	1	1	217	517	261	261	261	514	514	514	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq36_1.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq37_1.0	0-based_half-open	196	217	517	538	1	1	1	1	217	517	258	258	261	514	514	514	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq38_1.0	0-based_half-open	196	217	526	547	1	1	1	1	217	526	258	258	261	523	523	523	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq39_1.0	0-based_half-open	196	217	505	526	1	1	1	1	217	505	261	261	261	502	502	502	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq40_1.0	0-based_half-open	196	217	517	538	1	1	1	1	217	517	261	261	261	514	514	514	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq41_1.0	0-based_half-open	196	217	508	529	1	1	1	1	217	508	258	258	261	505	505	505	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq42_1.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq43_1.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	258	258	261	511	511	511	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq44_1.0	0-based_half-open	196	217	508	529	1	1	1	1	217	508	258	258	261	505	505	505	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq45_1.0	0-based_half-open	196	217	505	526	1	1	1	1	217	505	261	261	261	502	502	502	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
